factory_id,hvac_id,plant_name,city,state_province,country,latitude,longitude,notes
e325f91c-f389-4f7d-b595-b56ff8d820d7,a7c6b191-74db-4df2-875d-eda073e7cb77,Prilep Facility,Prilep,,North Macedonia,41.3444984,21.5527115,
85449564-92dc-496c-8075-e942a79514e8,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Farmington Hills Tech/Assembly,Farmington Hills,,Michigan,42.4853125,-83.3771553,
c4d73c62-1856-4bcc-8de5-349e41d4b78b,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Lawrenceburg EV/BTMS,Lawrenceburg,,Tennessee,35.2423023,-87.3347389,
72709541-a8cb-488a-9157-24044c081363,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Franklin Facility,Franklin,,Wisconsin,42.888627,-88.0384183,EVantage
7e0be501-08f8-4c42-8ffe-b0a45e8f494e,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Pontevico EVantage,Pontevico,,Brescia,45.274374,10.092471,
6ef11251-c625-44d9-990b-2c060b42352a,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Sosnowiec Thermal Systems,Sosnowiec,,Poland,50.2712401,19.2155628,
ae1f1768-74b9-434f-b39e-1b3993ac6599,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Auburn Hills Thermal Products,Auburn Hills,,Michigan,42.6875323,-83.2341028,
b5abdfe7-b759-41e4-8153-e1135ef0a87d,53d9013b-e822-4e22-b36b-dbfb5eeeb327,St. Clair Thermal Facility,St. Clair,,Michigan,42.9426715,-82.6283554,
948c185f-18ba-43db-a270-337aeb837457,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Thermal Products - Neu-Ulm,Neu-Ulm,,Germany,48.3953489,10.0005211,
7d5e7e87-857e-4ad8-b49c-348c0e02464e,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Thermal Management - Birmingham,Birmingham,,United Kingdom,52.4796992,-1.9026911,
a7f61690-45e3-4fd2-8b18-31bf6e2c9a0e,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Queretaro Thermal Plant,Querétaro,,Mexico,20.8052225,-99.8837376,
03d72215-3859-4d31-95f6-b31614d794a3,64e289f5-48d7-45a7-8a40-50ceed254f31,Juárez 2,Ciudad Juárez,,Chihuahua,31.6980541,-106.4494859,
4d2ea5f8-fece-4d95-b151-c54d5abbf8b7,53d9013b-e822-4e22-b36b-dbfb5eeeb327,Sosnowiec Thermal Systems,Sosnowiec,,Poland,50.2780834,19.1342944,
7bc857d3-3bbe-4d58-a0dd-179ff307b4c9,64e289f5-48d7-45a7-8a40-50ceed254f31,Juárez 2,Ciudad Juárez,,Chihuahua,31.705441,-106.4280584,
094df038-a2ef-4deb-993f-af9f269202aa,64e289f5-48d7-45a7-8a40-50ceed254f31,EFP Operations Mexicana,S.A. de C.V.,,Monterrey (Apodaca),25.7272539,-100.1916875,
587e11cb-7dc4-4a18-82a5-25a81bfadf1d,e9b11aef-fcd4-4182-b3dc-69fb772940b9,DENSO Poland Sp. z o.o.,Szczecin,,Poland,53.4298114,14.5928676,
